rbh_set_name,rbh_track_id,rbh_created_date,rbh_set_number,rbh_extract_timestamp,rb_track_id,rb_track_name,rb_artists,rb_album,rb_genre,rb_file_type,rb_file_size_bytes,rb_duration_sec,rb_year_release,rb_average_bpm,rb_date_added,rb_playcount,rb_file_name,rb_tonality,rb_label,rb_extract_timestamp,track_query,spotify_track_id,spotify_name,spotify_artists,similarity,spotify_album_type,spotify_duration_ms,spotify_duration_sec,spotify_popularity,spotify_quality_result,spotify_release_date,spotify_release_date_precision,spotify_isrc_id,spotify_artist_info,spotify_album_covers,spotify_timestamp,spotify_playcount
HISTORY 2022-01-01,31,2022-01-01,0,2025-12-11 14:19:05,31,Chop Suey (Original Mix),"Andre Butano, Miguel Lobo",,Tech House,MP3,15302046,380,0,123.0,2021-10-10,2,"Andre Butano, Miguel Lobo - Chop Suey (Original Mix)",12A,,2025-12-12 14:53:56,"andre butano, miguel lobo - chop suey (original mix)",0IfDL9pDnyhAS84ex2vF8Q,Chop Suey,"Andre Butano, Miguel Lobo",0.8314606741573034,single,380786.0,380.0,13.0,exact_duration_unique_result,2017-02-06,day,UKCP61500100,"[{'artist_name': 'Andre Butano', 'id': '1d8saXrZBqwtB9yQmqckWS'}, {'artist_name': 'Miguel Lobo', 'id': '6PWQ9tAq0UNhzf68T1zYUZ'}]","{'url_640_640': 'https://i.scdn.co/image/ab67616d0000b273700f3f53a932f7b6f4a761d6', 'url_300_300': 'https://i.scdn.co/image/ab67616d00001e02700f3f53a932f7b6f4a761d6', 'url_64_64': 'https://i.scdn.co/image/ab67616d00004851700f3f53a932f7b6f4a761d6'}",2025-12-11 14:19:53,278004.0
HISTORY 2022-01-01,34,2022-01-01,0,2025-12-11 14:19:05,34,Vermona (Original Mix),Andrea Oliva,,Tech House,MP3,20242444,502,0,123.0,2021-10-10,2,Andrea Oliva - Vermona (Original Mix),1A,,2025-12-12 14:53:56,andrea oliva - vermona (original mix),2qenFMMLOH35hyGy9ftYwP,Vermona,Andrea Oliva,0.7457627118644068,single,502693.0,502.0,15.0,exact_duration_unique_result,2016-12-02,day,QMZQ41609001,"[{'artist_name': 'Andrea Oliva', 'id': '6oqv4rbOMlOZNOUoDFgBSp'}]","{'url_640_640': 'https://i.scdn.co/image/ab67616d0000b2735f0bc1dcb916e067fa935700', 'url_300_300': 'https://i.scdn.co/image/ab67616d00001e025f0bc1dcb916e067fa935700', 'url_64_64': 'https://i.scdn.co/image/ab67616d000048515f0bc1dcb916e067fa935700'}",2025-12-11 14:19:54,1014462.0
HISTORY 2022-01-01,80,2022-01-01,0,2025-12-11 14:19:05,80,Light On (DJOKO & Rich Pinder Remix),Catsinka,,Tech House,MP3,15577171,375,0,124.0,2021-10-10,3,Catsinka - Light On (DJOKO & Rich Pinder Remix),7A,,2025-12-12 14:53:56,catsinka - light on (djoko & rich pinder remix),0OHj6k99n7w9QP3UGXc8pY,Light On - DJOKO & Rich Pinder Remix,"Catsinka, Kolter, Rich Pinder",0.782608695652174,single,375483.0,375.0,0.0,exact_duration_unique_result,2019-02-07,day,GBKQU1907908,"[{'artist_name': 'Catsinka', 'id': '2Ynro8ElWjD3skhoMLjJTh'}, {'artist_name': 'Kolter', 'id': '2Invsp3HSrAeJy4u7Retry'}, {'artist_name': 'Rich Pinder', 'id': '3MOuoaEORVBSF3cjDzObb9'}]","{'url_640_640': 'https://i.scdn.co/image/ab67616d0000b273900c09825b71bd2ce6e0a5b7', 'url_300_300': 'https://i.scdn.co/image/ab67616d00001e02900c09825b71bd2ce6e0a5b7', 'url_64_64': 'https://i.scdn.co/image/ab67616d00004851900c09825b71bd2ce6e0a5b7'}",2025-12-11 14:20:12,7152.0
HISTORY 2022-01-01,71,2022-01-01,0,2025-12-11 14:19:05,71,Dopamine Machine (Club Mix),"CamelPhat, Ali Love",Dopamine Machine,Tech House,MP3,20188446,498,2018,124.0,2021-10-10,2,"CamelPhat, Ali Love - Dopamine Machine (Club Mix)",2A,Defected Records,2025-12-12 14:53:56,"camelphat, ali love - dopamine machine (club mix)",0snuYSkLtt9iXyqhYYrDSO,Dopamine Machine - Club Mix,"CamelPhat, Ali Love",0.9591836734693876,single,498007.0,498.0,29.0,exact_duration_unique_result,2018-07-06,day,GBCPZ1813993,"[{'artist_name': 'CamelPhat', 'id': '240wlM8vDrf6S4zCyzGj2W'}, {'artist_name': 'Ali Love', 'id': '5XJp0gYotUfFraS626GSge'}]","{'url_640_640': 'https://i.scdn.co/image/ab67616d0000b27339167c39eab22e1093399338', 'url_300_300': 'https://i.scdn.co/image/ab67616d00001e0239167c39eab22e1093399338', 'url_64_64': 'https://i.scdn.co/image/ab67616d0000485139167c39eab22e1093399338'}",2025-12-11 14:20:08,1676506.0
HISTORY 2022-01-01,88,2022-01-01,0,2025-12-11 14:19:05,88,Free Your Body (Original Mix),"Chris Lake, Solardo",,Tech House,MP3,14509363,362,0,125.0,2021-10-10,4,"Chris Lake, Solardo - Free Your Body (Original Mix)",7A,,2025-12-12 14:53:56,"chris lake, solardo - free your body",7DdWzRlhzOToeHdOYbBt8z,Free Your Body,"Chris Lake, Solardo",1.0,single,269400.0,269.0,51.0,coef_similarity_mult_results,2019-10-04,day,CA5KR1953689,"[{'artist_name': 'Chris Lake', 'id': '5Igpc9iLZ3YGtKeYfSrrOE'}, {'artist_name': 'Solardo', 'id': '0oO1IaDOBSeI96HbnCa5pZ'}]","{'url_640_640': 'https://i.scdn.co/image/ab67616d0000b273766e9b8186d44766181d86b5', 'url_300_300': 'https://i.scdn.co/image/ab67616d00001e02766e9b8186d44766181d86b5', 'url_64_64': 'https://i.scdn.co/image/ab67616d00004851766e9b8186d44766181d86b5'}",2025-12-11 14:20:16,33979269.0
HISTORY 2022-01-01,157,2022-01-01,0,2025-12-11 14:19:05,157,Wanna Go Dancin' (Extended Mix),FISHER,,Tech House,MP3,14600592,338,0,125.0,2021-10-10,2,FISHER - Wanna Go Dancin' (Extended Mix),8A,,2025-12-12 14:53:56,fisher - wanna go dancin',2SweUwDKRlXeCDyaJddhWJ,Wanna Go Dancin',FISHER,1.0,single,180504.0,180.0,58.0,coef_similarity_mult_results,2020-03-31,day,QZA742002493,"[{'artist_name': 'FISHER', 'id': '1VJ0briNOlXRtJUAzoUJdt'}]","{'url_640_640': 'https://i.scdn.co/image/ab67616d0000b2735b098a98a8103becdabc3c6f', 'url_300_300': 'https://i.scdn.co/image/ab67616d00001e025b098a98a8103becdabc3c6f', 'url_64_64': 'https://i.scdn.co/image/ab67616d000048515b098a98a8103becdabc3c6f'}",2025-12-11 14:20:43,51062514.0
HISTORY 2022-01-01,160,2022-01-01,0,2025-12-11 14:19:05,160,Generate,Flash 89,Generate,Tech House,MP3,14586574,356,2017,124.0,2021-10-10,1,Flash 89 - Generate,7A,,2025-12-12 14:53:56,flash 89 - generate,2n1ZrRGdIrCwZDE4GvAuHD,Generate,Flash 89,1.0,single,356339.0,356.0,1.0,exact_duration_multiple_result,2017-11-24,day,AUNV01700253,"[{'artist_name': 'Flash 89', 'id': '6Qw2MJjTWam59Jj7Z2S0IA'}]","{'url_640_640': 'https://i.scdn.co/image/ab67616d0000b273f2d034f1283c22dbb88ce4d7', 'url_300_300': 'https://i.scdn.co/image/ab67616d00001e02f2d034f1283c22dbb88ce4d7', 'url_64_64': 'https://i.scdn.co/image/ab67616d00004851f2d034f1283c22dbb88ce4d7'}",2025-12-11 14:20:45,38224.0
HISTORY 2022-01-01,162,2022-01-01,0,2025-12-11 14:19:05,162,The Scoop (Original Mix),Format-B,,Tech House,MP3,14612345,364,0,124.0,2021-10-10,1,Format-B - The Scoop (Original Mix),6A,,2025-12-12 14:53:56,format-b - the scoop (original mix),47JSkEWuWoqrMTZOBIfaHQ,The Scoop - Original Mix,Format:B,0.9142857142857144,single,364915.0,364.0,20.0,exact_duration_multiple_result,2017-09-15,day,GBJAJ1700946,"[{'artist_name': 'Format:B', 'id': '5Am25tT39BPzreHngMkuux'}]","{'url_640_640': 'https://i.scdn.co/image/ab67616d0000b2732329e517add34fbd3c8e8a8c', 'url_300_300': 'https://i.scdn.co/image/ab67616d00001e022329e517add34fbd3c8e8a8c', 'url_64_64': 'https://i.scdn.co/image/ab67616d000048512329e517add34fbd3c8e8a8c'}",2025-12-11 14:20:45,940283.0
HISTORY 2022-01-01,174,2022-01-01,0,2025-12-11 14:19:05,174,Deceiver (Extended Mix),"Green Velvet, Chris Lake",,Tech House,MP3,15723116,387,0,124.0,2021-10-10,2,"Green Velvet, Chris Lake - Deceiver (Extended Mix)",9A,Black Book Records,2025-12-12 14:53:56,"green velvet, chris lake - deceiver",,,,,,,,,track_not_found,,,,[],{},2025-12-11 14:20:50,
HISTORY 2022-01-01,189,2022-01-01,0,2025-12-11 14:19:05,189,Veins,Hot Since 82,Damage _ Veins,Tech House,MP3,17768913,443,0,124.0,2021-10-10,2,Hot Since 82 - Veins,8A,,2025-12-12 14:53:56,hot since 82 - veins,0A4ZvzvZgPWYnavrgiAOLh,Veins,Hot Since 82,1.0,single,443223.0,443.0,41.0,exact_duration_unique_result,2015-10-12,day,GBUR61500105,"[{'artist_name': 'Hot Since 82', 'id': '1tRBmMtER4fGrzrt8O9VpS'}]","{'url_640_640': 'https://i.scdn.co/image/ab67616d0000b273f62adec3b447e15b2570b10b', 'url_300_300': 'https://i.scdn.co/image/ab67616d00001e02f62adec3b447e15b2570b10b', 'url_64_64': 'https://i.scdn.co/image/ab67616d00004851f62adec3b447e15b2570b10b'}",2025-12-11 14:20:55,17968087.0
