rb_track_id,rb_track_name,rb_artists,rb_album,rb_genre,rb_file_type,rb_file_size_bytes,rb_duration_sec,rb_year_release,rb_average_bpm,rb_date_added,rb_playcount,rb_file_name,rb_tonality,rb_label,rb_extract_timestamp
7,Ikaro (Moscoman Extended Remix),PAAX (Tulum),Armada Deep: Ibiza 2019 (Extended Versions),Melodic House,FLAC,46672376,411,2019,120.0,2021-10-10,3,"PAAX (Tulum), Moscoman - Ikaro (Moscoman Extended Remix)",6A,,2025-12-12 14:53:56
8,Grace,Patrice Baumel,Armada Deep: Ibiza 2019 (Extended Versions),Melodic Techno,FLAC,49566686,473,2019,125.99,2021-10-10,0,Patrice Baumel - Grace,2A,,2025-12-12 14:53:56
9,Renaissance (Extended Mix),Maxim Lany,,Melodic House,FLAC,42231081,439,2019,123.0,2021-10-10,1,Maxim Lany - Renaissance (Extended mix),7A,,2025-12-12 14:53:56
10,Soul Valley (Original Mix),Adriatique,,Melodic Techno,MP3,22573178,559,2016,122.0,2021-10-10,3,Adriatique - Soul Valley (Original Mix),2A,,2025-12-12 14:53:56
11,Voices From The Dawm (Original Mix),Adriatique,,Melodic Techno,MP3,17223974,428,0,121.0,2021-10-10,1,Adriatique - Voices From The Dawn (Original Mix),4A,,2025-12-12 14:53:56
12,Home (Original Mix),"Adriatique, Delhia De France, Marino Canal",,Melodic House,MP3,17565157,436,0,120.0,2021-10-10,2,Adriatique Ft. Delhia De France Marino Canal - Home (Original Mix),7A,,2025-12-12 14:53:56
13,Crazy Kills (Original Mix),Agar,Crazy Kills EP,Tech House,MP3,16134458,402,0,124.0,2021-10-10,2,Agar - Crazy Kills (Original Mix),1A,,2025-12-12 14:53:56
14,Sultan,"Agent!, Dompe",Sultan EP,Tech House,MP3,15899919,396,0,124.0,2021-10-10,3,"Agent!, Dompe - Sultan",12B,,2025-12-12 14:53:56
15,All Hope Fades (Original Mix),Alan Fitzpatrick,,Techno,MP3,16366846,403,0,130.0,2021-10-10,0,Alan Fitzpatrick - All Hope Fades (Original Mix),4B,,2025-12-12 14:53:56
16,Dead Beat Exile (Original Mix),Alan Fitzpatrick,,Techno,MP3,16318780,402,0,130.0,2021-10-10,0,Alan Fitzpatrick - Dead Beat Exile (Original Mix),4A,,2025-12-12 14:53:56
17,Ego (Original Mix),Alan Fitzpatrick,,Techno,MP3,17260404,430,0,128.0,2021-10-10,1,Alan Fitzpatrick - Ego (Original Mix),8A,,2025-12-12 14:53:56
18,Eleven Eleven (Original Mix),Alan Fitzpatrick,,Techno,MP3,16567466,408,2019,126.98,2021-10-10,3,Alan Fitzpatrick - Eleven Eleven (Original Mix),1A,,2025-12-12 14:53:56
19,Eleven Eleven (Polymod Remix),Alan Fitzpatrick,,Techno,MP3,17591466,434,0,127.0,2021-10-10,0,Alan Fitzpatrick - Eleven Eleven (Polymod Remix),2B,,2025-12-12 14:53:56
20,Love Siren (Original Mix),Alan Fitzpatrick,,Techno,MP3,16116878,398,2016,126.0,2021-10-10,0,Alan Fitzpatrick - Love Siren (Original Mix),6A,,2025-12-12 14:53:56
21,Stand Up (Original Mix),Alan Fitzpatrick,,Techno,MP3,14770677,361,0,126.0,2021-10-10,0,Alan Fitzpatrick - Stand Up (Original Mix),11B,,2025-12-12 14:53:56
22,Toasted Pitta (Original Mix),Alan Fitzpatrick,,Techno,MP3,12900919,316,0,129.0,2021-10-10,0,Alan Fitzpatrick - Toasted Pitta (Original Mix),8A,We Are The Brave,2025-12-12 14:53:56
23,We Do What We Want (Original Mix),Alan Fitzpatrick,,Techno,MP3,20265625,505,2016,126.0,2021-10-10,3,Alan Fitzpatrick - We Do What We Want (Original Mix),4A,,2025-12-12 14:53:56
24,El House,Alejandro Paz,El Untitled,House,MP3,11895192,294,2013,120.0,2021-10-10,0,Alejandro Paz - El House,6A,,2025-12-12 14:53:56
25,Cook It Up,Alvaro AM,,Tech House,MP3,13657897,341,0,124.0,2021-10-10,1,Alvaro AM - Cook It Up,9A,,2025-12-12 14:53:56
26,Follow (Original Mix),Amelie Lens,,Techno,MP3,14074625,337,2017,128.0,2021-10-10,1,Amelie Lens - Follow (Original Mix),11A,,2025-12-12 14:53:56
27,Helium (Original Mix),Amelie Lens,Little Robot EP,Techno,MP3,14182591,352,2019,133.0,2021-10-10,4,Amelie Lens - Helium (Original Mix) [Lenske],8A,Lenske,2025-12-12 14:53:56
28,In Silence (Original Mix),Amelie Lens,,Techno,MP3,15799853,393,2017,128.0,2021-10-10,2,Amelie Lens - In Silence (Original Mix),3B,,2025-12-12 14:53:56
29,Man Over Machine (Original Mix),Amelie Lens,Little Robot EP,Techno,MP3,15383188,383,2019,132.0,2021-10-10,4,Amelie Lens - Man Over Machine (Original Mix) [Lenske],10A,Lenske,2025-12-12 14:53:56
30,Storm (Original Mix),Amelie Lens,Little Robot EP,Techno,MP3,17223243,429,2019,131.0,2021-10-10,4,Amelie Lens - Storm (Original Mix) [Lenske],5A,Lenske,2025-12-12 14:53:56
31,Chop Suey (Original Mix),"Andre Butano, Miguel Lobo",,Tech House,MP3,15302046,380,0,123.0,2021-10-10,2,"Andre Butano, Miguel Lobo - Chop Suey (Original Mix)",12A,,2025-12-12 14:53:56
32,My Way (Original Mix),Andrea Oliva,,Tech House,MP3,15614903,389,0,125.0,2021-10-10,2,Andrea Oliva - My Way (Original Mix),8A,,2025-12-12 14:53:56
33,Terrace (Original Mix),Andrea Oliva,,Tech House,MP3,18170229,453,0,124.0,2021-10-10,2,Andrea Oliva - Terrace (Original Mix),10A,,2025-12-12 14:53:56
34,Vermona (Original Mix),Andrea Oliva,,Tech House,MP3,20242444,502,0,123.0,2021-10-10,2,Andrea Oliva - Vermona (Original Mix),1A,,2025-12-12 14:53:56
35,Galactic Highways (Original Mix),ANNA,Galactic Highways,Techno,MP3,14678677,357,2019,130.0,2021-10-10,3,ANNA - Galactic Highways (Original Mix),2A,Sharing-DB.com,2025-12-12 14:53:56
36,The Dansant,ANNA,Speicher 101,Techno,MP3,16024950,400,0,126.0,2021-10-10,0,ANNA - The Dansant,12A,,2025-12-12 14:53:56
37,Let Me Hear Ya,ANOTR,Let Me Hear Ya EP,"Deep Tech, Minimal",MP3,17111588,427,0,126.0,2021-10-10,8,ANOTR - Let Me Hear Ya,6A,,2025-12-12 14:53:56
38,Jungle Disco (Riaz Dhanani Remix),Apollo 84,,Tech House,MP3,16167723,403,0,125.0,2021-10-10,2,Apollo 84 - Jungle Disco (Riaz Dhanani Remix),11B,,2025-12-12 14:53:56
39,Aquarius (Original Mix),ARTBAT,,Melodic Techno,MP3,18918895,472,2019,122.0,2021-10-10,2,ARTBAT - Aquarius (Original Mix),8A,,2025-12-12 14:53:56
40,Element (Original Mix),ARTBAT,,Melodic Techno,MP3,17803540,444,0,123.0,2021-10-10,0,ARTBAT - Element (Original Mix),9A,,2025-12-12 14:53:56
41,Orbital (Original Mix),ARTBAT,,Melodic Techno,MP3,21890068,545,2019,123.0,2021-10-10,2,ARTBAT - Orbital (Original Mix),1A,,2025-12-12 14:53:56
42,Papillon (Original Mix),ARTBAT,,Melodic Techno,MP3,17077163,426,0,122.0,2021-10-10,3,ARTBAT - Papillon (Original Mix),4A,,2025-12-12 14:53:56
43,Prometheus (Original Mix),ARTBAT ,Planeta ,Melodic Techno,MP3,18901233,471,2018,124.0,2021-10-10,0,ARTBAT - Prometheus Original Mix,5B,,2025-12-12 14:53:56
44,Upperground (Original Mix),ARTBAT,,Melodic Techno,MP3,16284682,405,2019,123.0,2021-10-10,5,ARTBAT - Upperground (Original Mix),6A,,2025-12-12 14:53:56
45,Wall (Original Mix),ARTBAT,,Techno,MP3,22118996,545,0,124.0,2021-10-10,3,ARTBAT - Wall Original Mix,6A,,2025-12-12 14:53:56
