rbh_set_name,rbh_track_id,rbh_created_date,rbh_set_number,rbh_extract_timestamp
HISTORY 2022-01-01,31,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,34,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,80,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,71,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,88,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,157,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,160,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,162,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,174,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,189,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,329,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,346,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,354,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,127,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,237,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-01-01,196,2022-01-01,0,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),33,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),59,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),88,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),131,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),234,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),247,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),260,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),263,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),273,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),279,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),295,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),317,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),155,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),158,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-02-12 (1),164,2022-02-12,1,2025-12-11 14:19:05
HISTORY 2022-03-19,14,2022-03-19,2,2025-12-11 14:19:05
HISTORY 2022-03-19,55,2022-03-19,2,2025-12-11 14:19:05
HISTORY 2022-03-19,67,2022-03-19,2,2025-12-11 14:19:05
HISTORY 2022-03-19,155,2022-03-19,2,2025-12-11 14:19:05
HISTORY 2022-03-19,156,2022-03-19,2,2025-12-11 14:19:05
HISTORY 2022-03-19,168,2022-03-19,2,2025-12-11 14:19:05
HISTORY 2022-03-19,169,2022-03-19,2,2025-12-11 14:19:05
HISTORY 2022-03-19,176,2022-03-19,2,2025-12-11 14:19:05
HISTORY 2022-03-19,183,2022-03-19,2,2025-12-11 14:19:05
HISTORY 2022-03-19,185,2022-03-19,2,2025-12-11 14:19:05
HISTORY 2022-05-14,37,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,58,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,177,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,183,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,263,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,317,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,318,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,323,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,326,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,329,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,348,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,309,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,258,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,44,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,42,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,11,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,7,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,12,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-05-14,57,2022-05-14,3,2025-12-11 14:19:05
HISTORY 2022-06-26,323,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,260,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,224,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,157,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,141,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,134,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,123,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,86,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,77,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,59,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,163,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,164,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,78,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,249,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,287,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,37,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,79,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,131,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,170,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,303,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,305,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,344,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,348,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,292,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,85,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,74,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-06-26,289,2022-06-26,4,2025-12-11 14:19:05
HISTORY 2022-09-10,37,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,38,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,59,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,63,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,65,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,66,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,67,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,138,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,144,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,145,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,166,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,177,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,170,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,183,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,184,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,186,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,187,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-10,205,2022-09-10,5,2025-12-11 14:19:05
HISTORY 2022-09-16,80,2022-09-16,6,2025-12-11 14:19:05
HISTORY 2022-09-16,218,2022-09-16,6,2025-12-11 14:19:05
